Tank,O2.mgL,TempC,date,time,phase,weather,air temp,week,sensor
1,10.8,13.4,15-Jun,4:52,dawn1,,,1,OG
2,11.4,13.8,15-Jun,4:52,dawn1,,,1,OG
3,11,14,15-Jun,4:52,dawn1,,,1,OG
4,10.7,14.5,15-Jun,4:52,dawn1,,,1,OG
5,10.6,14.4,15-Jun,4:52,dawn1,,,1,OG
6,10.5,14.4,15-Jun,4:52,dawn1,,,1,OG
7,8.4,14.5,15-Jun,4:52,dawn1,,,1,OG
8,10.1,14.2,15-Jun,4:52,dawn1,,,1,OG
9,10.8,14.6,15-Jun,4:52,dawn1,,,1,OG
10,11.2,14.4,15-Jun,4:52,dawn1,,,1,OG
11,8.6,14.3,15-Jun,4:52,dawn1,,,1,OG
12,10.8,14.3,15-Jun,4:52,dawn1,,,1,OG
13,10.8,14.2,15-Jun,4:52,dawn1,,,1,OG
14,10.1,14,15-Jun,4:52,dawn1,,,1,OG
15,10.5,14.2,15-Jun,4:52,dawn1,,,1,OG
16,10.5,14,15-Jun,4:52,dawn1,,,1,OG
17,9.8,13.9,15-Jun,4:52,dawn1,,,1,OG
18,10.4,14.2,15-Jun,4:52,dawn1,,,1,OG
19,10.8,14.2,15-Jun,4:52,dawn1,,,1,OG
20,10,14,15-Jun,4:52,dawn1,,,1,OG
21,10.5,14.2,15-Jun,4:52,dawn1,,,1,OG
22,10.9,14.2,15-Jun,4:52,dawn1,,,1,OG
23,9.8,14.2,15-Jun,4:52,dawn1,,,1,OG
24,9.9,14.3,15-Jun,4:52,dawn1,,,1,OG
25,10,14.2,15-Jun,4:52,dawn1,,,1,OG
26,10.2,14.2,15-Jun,4:52,dawn1,,,1,OG
27,9.4,14.3,15-Jun,4:52,dawn1,,,1,OG
28,9.6,14.1,15-Jun,4:52,dawn1,,,1,OG
29,9.9,14.1,15-Jun,4:52,dawn1,,,1,OG
30,10.1,14.4,15-Jun,4:52,dawn1,,,1,OG
1,11.4,15.3,16-Jun,4:39,dawn2,,,1,OG
2,11.2,15.8,16-Jun,4:39,dawn2,,,1,OG
3,11.3,15.9,16-Jun,4:39,dawn2,,,1,OG
4,10.8,16.5,16-Jun,4:39,dawn2,,,1,OG
5,11.1,16.2,16-Jun,4:39,dawn2,,,1,OG
6,10.9,16.1,16-Jun,4:39,dawn2,,,1,OG
7,8.8,16.4,16-Jun,4:39,dawn2,,,1,OG
8,11.2,16.1,16-Jun,4:39,dawn2,,,1,OG
9,11.2,16.3,16-Jun,4:39,dawn2,,,1,OG
10,11.2,16.1,16-Jun,4:39,dawn2,,,1,OG
11,9.1,16.2,16-Jun,4:39,dawn2,,,1,OG
12,11.2,15.9,16-Jun,4:39,dawn2,,,1,OG
13,11.4,16.1,16-Jun,4:39,dawn2,,,1,OG
14,10.9,15.8,16-Jun,4:39,dawn2,,,1,OG
15,11.2,16,16-Jun,4:39,dawn2,,,1,OG
16,11.3,15.3,16-Jun,4:39,dawn2,,,1,OG
17,10.5,14.8,16-Jun,4:39,dawn2,,,1,OG
18,11.5,15.3,16-Jun,4:39,dawn2,,,1,OG
19,11.6,15.2,16-Jun,4:39,dawn2,,,1,OG
20,10.9,15.2,16-Jun,4:39,dawn2,,,1,OG
21,11.5,15.5,16-Jun,4:39,dawn2,,,1,OG
22,11.9,15.5,16-Jun,4:39,dawn2,,,1,OG
23,10.7,15.2,16-Jun,4:39,dawn2,,,1,OG
24,10.8,15.7,16-Jun,4:39,dawn2,,,1,OG
25,11.2,15.3,16-Jun,4:39,dawn2,,,1,OG
26,11.1,15.1,16-Jun,4:39,dawn2,,,1,OG
27,10.9,15.5,16-Jun,4:39,dawn2,,,1,OG
28,10.6,15.1,16-Jun,4:39,dawn2,,,1,OG
29,11.1,15.1,16-Jun,4:39,dawn2,,,1,OG
30,11.1,15.6,16-Jun,4:39,dawn2,,,1,OG
1,12,19.5,15-Jun,8:58,dusk,,,1,OG
2,12,19.3,15-Jun,8:58,dusk,,,1,OG
3,11.6,19.5,15-Jun,8:58,dusk,,,1,OG
4,11.5,20,15-Jun,8:58,dusk,,,1,OG
5,11.6,19.7,15-Jun,8:58,dusk,,,1,OG
6,11.7,19.6,15-Jun,8:58,dusk,,,1,OG
7,9.3,20,15-Jun,8:58,dusk,,,1,OG
8,11.9,19.4,15-Jun,8:58,dusk,,,1,OG
9,11.8,20,15-Jun,8:58,dusk,,,1,OG
10,11.9,19.6,15-Jun,8:58,dusk,,,1,OG
11,9.4,19.5,15-Jun,8:58,dusk,,,1,OG
12,11.9,19.2,15-Jun,8:58,dusk,,,1,OG
13,11.8,19.5,15-Jun,8:58,dusk,,,1,OG
14,11.6,19.4,15-Jun,8:58,dusk,,,1,OG
15,11.6,19.6,15-Jun,8:58,dusk,,,1,OG
16,11.9,18.4,15-Jun,8:58,dusk,,,1,OG
17,10.8,17.3,15-Jun,8:58,dusk,,,1,OG
18,12.1,18.2,15-Jun,8:58,dusk,,,1,OG
19,11.9,18.3,15-Jun,8:58,dusk,,,1,OG
20,11.4,18.4,15-Jun,8:58,dusk,,,1,OG
21,11.8,18.4,15-Jun,8:58,dusk,,,1,OG
22,12.4,18.6,15-Jun,8:58,dusk,,,1,OG
23,11,18.1,15-Jun,8:58,dusk,,,1,OG
24,11.5,18.7,15-Jun,8:58,dusk,,,1,OG
25,11.5,18.2,15-Jun,8:58,dusk,,,1,OG
26,11.7,17.8,15-Jun,8:58,dusk,,,1,OG
27,11.5,18.7,15-Jun,8:58,dusk,,,1,OG
28,11.1,17.8,15-Jun,8:58,dusk,,,1,OG
29,11.3,17.8,15-Jun,8:58,dusk,,,1,OG
30,12,18.9,15-Jun,8:58,dusk,,,1,OG
1,9.6,24.5,22-Jun,4:45,dawn1,clear,10.6,2,OG
2,10.9,20.7,22-Jun,4:45,dawn1,clear,10.6,2,OG
3,8.6,25.6,22-Jun,4:45,dawn1,clear,10.6,2,OG
4,9.2,24.9,22-Jun,4:45,dawn1,clear,10.6,2,OG
5,8.4,26.8,22-Jun,4:45,dawn1,clear,10.6,2,OG
6,9.2,24.2,22-Jun,4:45,dawn1,clear,10.6,2,OG
7,10.3,21.6,22-Jun,4:45,dawn1,clear,10.6,2,OG
8,8.5,26.5,22-Jun,4:45,dawn1,clear,10.6,2,OG
9,10,22.9,22-Jun,4:45,dawn1,clear,10.6,2,OG
10,8,26.8,22-Jun,4:45,dawn1,clear,10.6,2,OG
11,10.9,21.5,22-Jun,4:45,dawn1,clear,10.6,2,OG
12,11,20.6,22-Jun,4:45,dawn1,clear,10.6,2,OG
13,7.7,26.4,22-Jun,4:45,dawn1,clear,10.6,2,OG
14,9.3,24.8,22-Jun,4:45,dawn1,clear,10.6,2,OG
15,9.1,25.9,22-Jun,4:45,dawn1,clear,10.6,2,OG
16,8.9,26.8,22-Jun,4:45,dawn1,clear,10.6,2,OG
17,10.6,21.9,22-Jun,4:45,dawn1,clear,10.6,2,OG
18,9,24.1,22-Jun,4:45,dawn1,clear,10.6,2,OG
19,10.6,20.5,22-Jun,4:45,dawn1,clear,10.6,2,OG
20,10.2,22.1,22-Jun,4:45,dawn1,clear,10.6,2,OG
21,8.2,26.3,22-Jun,4:45,dawn1,clear,10.6,2,OG
22,8.3,27.4,22-Jun,4:45,dawn1,clear,10.6,2,OG
23,9,25.8,22-Jun,4:45,dawn1,clear,10.6,2,OG
24,8.2,26.2,22-Jun,4:45,dawn1,clear,10.6,2,OG
25,9.5,22.9,22-Jun,4:45,dawn1,clear,10.6,2,OG
26,11,20.5,22-Jun,4:45,dawn1,clear,10.6,2,OG
27,10.5,22.6,22-Jun,4:45,dawn1,clear,10.6,2,OG
28,8.2,26.3,22-Jun,4:45,dawn1,clear,10.6,2,OG
29,8.9,25.4,22-Jun,4:45,dawn1,clear,10.6,2,OG
30,10.2,22.3,22-Jun,4:45,dawn1,clear,10.6,2,OG
1,9.9,25.5,23-Jun,4:42,dawn2,,,2,OG
2,10.7,20.4,23-Jun,4:42,dawn2,,,2,OG
3,8.6,26.2,23-Jun,4:42,dawn2,,,2,OG
4,9,24.9,23-Jun,4:42,dawn2,,,2,OG
5,7.5,26.9,23-Jun,4:42,dawn2,,,2,OG
6,8.2,23.5,23-Jun,4:42,dawn2,,,2,OG
7,10.5,21.2,23-Jun,4:42,dawn2,,,2,OG
8,8.3,27.3,23-Jun,4:42,dawn2,,,2,OG
9,9.7,22.8,23-Jun,4:42,dawn2,,,2,OG
10,7.5,27,23-Jun,4:42,dawn2,,,2,OG
11,11.3,21.1,23-Jun,4:42,dawn2,,,2,OG
12,10.9,20.5,23-Jun,4:42,dawn2,,,2,OG
13,7,26.6,23-Jun,4:42,dawn2,,,2,OG
14,8.1,24.5,23-Jun,4:42,dawn2,,,2,OG
15,8.8,25.9,23-Jun,4:42,dawn2,,,2,OG
16,8.6,26.8,23-Jun,4:42,dawn2,,,2,OG
17,10.6,21.3,23-Jun,4:42,dawn2,,,2,OG
18,7.7,24.5,23-Jun,4:42,dawn2,,,2,OG
19,10.9,19.9,23-Jun,4:42,dawn2,,,2,OG
20,10,22.3,23-Jun,4:42,dawn2,,,2,OG
21,7.2,26.6,23-Jun,4:42,dawn2,,,2,OG
22,7.2,27.6,23-Jun,4:42,dawn2,,,2,OG
23,8.9,25.5,23-Jun,4:42,dawn2,,,2,OG
24,7.6,26.2,23-Jun,4:42,dawn2,,,2,OG
25,9.3,24,23-Jun,4:42,dawn2,,,2,OG
26,11,19.8,23-Jun,4:42,dawn2,,,2,OG
27,10.3,22.5,23-Jun,4:42,dawn2,,,2,OG
28,7,27.2,23-Jun,4:42,dawn2,,,2,OG
29,7.4,25.1,23-Jun,4:42,dawn2,,,2,OG
30,10.1,21.5,23-Jun,4:42,dawn2,,,2,OG
1,10.2,28.7,22-Jun,9:21,dusk,,,2,OG
2,11.5,24,22-Jun,9:21,dusk,,,2,OG
