week,tank,temp,species,trophic,taxon,number,mean.length,sd.length
2,2,20.7,Copepod,omnivore,copepod,3,46.7,43.6
2,2,20.7,K. cochlearis,detritovore,rotifer,28,4.44,0.65
2,2,20.7,nauplii,omnivore,copepod,213,7.2,1.6
2,2,20.7,SIM1,herbivore,cladoceran,14,26.3,2.75
2,2,20.7,Simocephalus,herbivore,cladoceran,5,83.25,57.25
2,3,25.6,Copepod,omnivore,copepod,15,25.8,2.305273458
2,3,25.6,K. cochlearis,detritovore,rotifer,4,4.75,0.957427108
2,3,25.6,nauplii,omnivore,copepod,378,8.16,2.055075019
2,3,25.6,SIM1,herbivore,cladoceran,7,25.714,1.97604704
2,3,25.6,Simocephalus,herbivore,cladoceran,22,60.455,38.57056276
2,4,24.9,Copepod,omnivore,copepod,7,24.14285714,1.573591585
2,4,24.9,K. cochlearis,detritovore,rotifer,1,4,
2,4,24.9,nauplii,omnivore,copepod,525,8.56,2.724579478
2,4,24.9,Simocephalus,herbivore,cladoceran,14,57.07142857,30.09590896
2,7,21.6,Copepod,omnivore,copepod,5,38.6,14.18802312
2,7,21.6,Daphnia,herbivore,cladoceran,4,42.75,15.04160896
2,7,21.6,K. cochlearis,detritovore,rotifer,4,6,0.816496581
2,7,21.6,nauplii,omnivore,copepod,298,7.72,2.300724524
2,7,21.6,Podocopida,,ostracod,1,23,
2,7,21.6,Simocephalus,herbivore,cladoceran,8,72.875,37.74136609
2,8,26.5,C. sphaericus,herbivore,cladoceran,1,21,
2,8,26.5,Copepod,omnivore,copepod,17,34.47058824,19.54199851
2,8,26.5,nauplii,omnivore,copepod,366,7.16,2.075250989
2,8,26.5,Simocephalus,herbivore,cladoceran,50,66.84,34.47424159
2,10,26.8,Copepod,omnivore,copepod,13,26.69230769,10.6017657
2,10,26.8,Daphnia,herbivore,cladoceran,1,100,
2,10,26.8,Monostyla,detritovore,rotifer,1,6,
2,10,26.8,nauplii,omnivore,copepod,43,9.24,2.618523757
2,10,26.8,SIM1,herbivore,cladoceran,3,23,14.79864859
2,10,26.8,Simocephalus,herbivore,cladoceran,185,60.44,19.84750194
2,15,25.9,C. sphaericus,herbivore,cladoceran,1,24,
2,15,25.9,Copepod,omnivore,copepod,17,25.23529412,5.344733527
2,15,25.9,nauplii,omnivore,copepod,598,7.72,2.318764039
